#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 13 03 50 288 10.3 13.2  4.11 10.81  7.59 356 1013.1  10.3  10.2   8.5 99.0 99.00
2018 08 13 04 50 285 10.9 13.6  3.98 11.43  7.49 341 1013.7  10.3  10.2   8.4 99.0 99.00
2018 08 13 05 50 282  9.7 12.3  3.33 10.00  7.01 352 1014.5  10.2  10.2   8.8 99.0 99.00
2018 08 13 06 50 283  9.8 12.2  3.77 10.81  7.38   4 1015.5  10.2  10.2   9.1 99.0 99.00
2018 08 13 07 50 283  9.6 11.4  3.37 10.81  7.24 352 1016.7  10.2  10.2   8.8 99.0 99.00
2018 08 13 08 50 278  9.4 11.2  3.15 10.00  6.82 351 1017.5  10.1  10.2   8.6 99.0 99.00
2018 08 13 09 50 270  9.8 11.6  3.34 10.00  7.37 349 1018.1  10.0  10.2   9.1 99.0 99.00
2018 08 13 10 50 279  9.8 11.7  3.22 10.00  7.19 347 1018.7  10.1  10.2   8.5 99.0 99.00
2018 08 13 11 50 278  8.9 10.5  3.21 10.00  7.21 357 1019.1  10.2  10.1   8.5 99.0 99.00
2018 08 13 12 50 269  9.2 11.2  3.02 10.00  6.84 354 1019.6  10.1  10.1   9.4 99.0 99.00
2018 08 13 13 50 276  9.3 11.7  3.23 10.81  7.34 350 1020.1  10.0  10.1   8.9 99.0 99.00
2018 08 13 14 50 276  9.9 11.4  3.33 10.00  7.16 353 1020.5   9.9  10.2   8.0 99.0 99.00
2018 08 13 15 50 268  9.3 11.1  3.02 10.00  7.01 352 1021.1   9.7  10.2   8.2 99.0 99.00
2018 08 13 16 50 265  8.4 10.1  3.16 10.00  6.89 352 1021.7   9.8  10.2   9.0 99.0 99.00
2018 08 13 17 50 261  8.5 10.4  2.89 10.81  6.81 344 1022.3   9.9  10.2   8.8 99.0 99.00
2018 08 13 18 50 257  7.9 10.0  2.64  9.09  6.53 345 1022.8   9.9  10.2   8.4 99.0 99.00
2018 08 13 19 50 250  7.9  9.4  2.50 10.00  6.52 347 1023.2   9.8  10.2   8.8 99.0 99.00
2018 08 13 20 50 251  8.6 10.7  2.57 10.00  6.68 348 1023.5   9.8  10.2   8.5 99.0 99.00
2018 08 13 21 50 256  6.2  7.1  2.54 10.00  7.00 344 1024.0   9.8  10.3   9.8 99.0 99.00
2018 08 13 22 50 255  7.3  8.9  2.20 10.00  6.68 343 1024.3  10.2  10.3   9.8 99.0 99.00
2018 08 13 23 50 255  8.9 10.7  2.23 10.00  6.57 338 1024.3  10.3  10.3   9.3 99.0 99.00
2018 08 14 00 50 261  8.2  9.3  2.21 10.00  6.45 352 1024.4  10.3  10.3   9.2 99.0 99.00
2018 08 14 01 50 252  8.2  9.8  2.31 10.00  6.52 338 1024.5  10.4  10.4   9.0 99.0 99.00
2018 08 14 02 50 248  8.4 10.1  2.38 10.00  6.52 344 1024.3  10.3  10.4   9.5 99.0 99.00
2018 08 14 03 50 247  9.5 11.2  2.42  9.09  6.30 344 1024.1  10.4  10.4   9.4 99.0 99.00
2018 08 14 04 50 249  9.2 10.9  2.45  9.09  6.27 347 1024.0  10.4  10.4   9.7 99.0 99.00
2018 08 14 05 50 257  9.7 11.3  2.15  9.09  5.85 335 1024.1  10.4  10.4   9.9 99.0 99.00
2018 08 14 06 50 256 10.9 12.9  2.20 10.00  5.80 345 1024.2  10.1  10.4   9.6 99.0 99.00
