#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 23 13 28 999 99.0 99.0  3.41  6.67  6.65 186 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 13 58 999 99.0 99.0  3.39  6.67  6.45 186 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 14 28 999 99.0 99.0  3.49  7.14  6.49 189 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 14 58 999 99.0 99.0  3.80  7.14  6.69 190 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 15 28 999 99.0 99.0  3.43  7.69  6.66 204 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 15 58 999 99.0 99.0  3.37  7.69  6.68 200 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 16 28 999 99.0 99.0  3.42  7.69  6.74 196 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 16 58 999 99.0 99.0  3.34  9.09  6.87 214 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 17 28 999 99.0 99.0  3.17  8.33  6.64 207 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 17 58 999 99.0 99.0  3.30  8.33  6.92 210 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 18 28 999 99.0 99.0  3.20  8.33  6.81 213 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 18 58 999 99.0 99.0  3.27  9.09  7.04 224 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 19 28 999 99.0 99.0  3.16  8.33  7.08 203 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 19 58 999 99.0 99.0  3.69  9.09  7.57 220 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 20 28 999 99.0 99.0  3.40  9.09  7.37 223 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 20 58 999 99.0 99.0  3.04  9.88  7.18 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 21 28 999 99.0 99.0  3.28  9.88  7.47 234 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 21 58 999 99.0 99.0  3.24  8.33  7.27 213 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 22 28 999 99.0 99.0  3.06  9.09  7.46 227 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 22 58 999 99.0 99.0  3.01  8.33  7.43 207 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 23 28 999 99.0 99.0  2.98  9.09  7.32 231 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 23 58 999 99.0 99.0  3.00  9.09  7.21 217 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 00 28 999 99.0 99.0  3.15  9.88  7.41 210 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 00 58 999 99.0 99.0  3.31  9.09  7.47 214 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 01 28 999 99.0 99.0  3.22  9.09  7.45 221 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 01 58 999 99.0 99.0  3.30  9.09  7.55 213 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 02 28 999 99.0 99.0  2.94  9.09  7.36 213 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 02 58 999 99.0 99.0  3.21  9.88  7.60 224 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 03 28 999 99.0 99.0  3.31  9.09  7.41 224 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 03 58 999 99.0 99.0  3.19  9.88  7.62 221 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 04 28 999 99.0 99.0  3.34  9.09  7.81 214 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 04 58 999 99.0 99.0  3.08  9.88  7.46 227 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 05 28 999 99.0 99.0  2.85  9.88  7.32 196 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 05 58 999 99.0 99.0  3.31  9.88  7.88 221 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 06 28 999 99.0 99.0  3.30  9.88  7.84 220 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 06 58 999 99.0 99.0  3.16  9.88  7.85 224 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 07 28 999 99.0 99.0  3.47  9.88  7.93 231 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 07 58 999 99.0 99.0  3.12 10.53  7.85 227 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 08 28 999 99.0 99.0  3.03 10.53  7.92 231 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 08 58 999 99.0 99.0  3.04  9.88  7.96 223 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 09 28 999 99.0 99.0  3.20 10.53  8.19 209 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 09 58 999 99.0 99.0  3.23 10.53  8.04 237 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 10 28 999 99.0 99.0  3.03  9.88  8.06 219 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 10 58 999 99.0 99.0  3.22 10.53  8.31 210 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 11 28 999 99.0 99.0  3.31 10.53  8.57 213 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 11 58 999 99.0 99.0  3.62 10.53  8.70 221 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 12 28 999 99.0 99.0  3.45 11.11  8.54 214 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 12 58 999 99.0 99.0  3.49  9.88  8.43 223 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 13 28 999 99.0 99.0  3.37  9.88  8.50 217 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 13 58 999 99.0 99.0  3.56  9.88  8.55 231 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 14 28 999 99.0 99.0  3.56  9.88  8.54 217 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 14 58 999 99.0 99.0  3.92 10.53  8.79 228 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 15 28 999 99.0 99.0  3.48 11.76  8.44 259 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 15 58 999 99.0 99.0  3.46 10.53  8.02 245 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 16 28 999 99.0 99.0  3.61 10.53  8.00 247 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 16 58 999 99.0 99.0  3.13 10.53  7.30 241 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 17 28 999 99.0 99.0  3.33  9.88  7.07 217 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 17 58 999 99.0 99.0  3.70  9.88  7.33 249 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 18 28 999 99.0 99.0  3.53 11.76  7.02 268 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 18 58 999 99.0 99.0  3.72  9.88  7.11 237 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 19 28 999 99.0 99.0  3.65  9.88  7.00 226 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 19 58 999 99.0 99.0  3.70 10.53  7.13 248 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 20 28 999 99.0 99.0  3.92  9.88  6.96 233 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 20 58 999 99.0 99.0  4.15  9.88  6.96 237 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 21 28 999 99.0 99.0  4.27  7.14  7.01 151 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 21 58 999 99.0 99.0  4.17  9.09  7.11 189 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 22 28 999 99.0 99.0  4.21  8.33  7.25 161 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 22 58 999 99.0 99.0  4.23  9.09  7.24 189 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 23 28 999 99.0 99.0  4.26  9.09  7.49 186 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 24 23 58 999 99.0 99.0  4.15  8.33  7.35 166 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 00 28 999 99.0 99.0  4.17  8.33  7.62 168 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 00 58 999 99.0 99.0  4.28  9.09  7.78 181 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 01 28 999 99.0 99.0  3.93  9.09  7.68 181 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 01 58 999 99.0 99.0  4.27  9.09  7.59 178 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 02 28 999 99.0 99.0  4.39  9.88  7.94 196 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 02 58 999 99.0 99.0  3.95  9.09  7.59 179 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 03 28 999 99.0 99.0  4.10  9.09  7.96 195 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 03 58 999 99.0 99.0  3.82  9.09  7.82 185 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 04 28 999 99.0 99.0  4.30  9.88  8.19 193 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 04 58 999 99.0 99.0  4.05  9.09  7.93 174 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 05 28 999 99.0 99.0  3.95  9.09  8.02 183 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 05 58 999 99.0 99.0  4.12  9.09  7.96 192 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 06 28 999 99.0 99.0  4.24  9.09  8.36 185 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 06 58 999 99.0 99.0  4.16 18.18  8.21 268 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 07 28 999 99.0 99.0  4.32 18.18  8.35 273 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 07 58 999 99.0 99.0  4.26  9.88  8.45 190 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 08 28 999 99.0 99.0  4.58  9.88  8.55 203 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 08 58 999 99.0 99.0  4.40  9.88  8.55 190 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 09 28 999 99.0 99.0  5.08  9.88  9.24 209 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 09 58 999 99.0 99.0  4.42 16.67  9.19 265 9999.0 999.0   7.1 999.0 99.0 99.00
